fbsCode,foodDemand
2511,1
2513,4
2514,3
2516,5
2517,6
2518,7
2531,9
2532,11
2533,10
2534,14
2535,12
2541,16
2542,15
2611,22
2612,23
2615,25
2616,13
2630,44
2635,45
2655,47
2656,48
2731,27
2732,28
2733,29
2734,30
2735,31
2736,32
2946,41
2740,38
2743,39
2744,33
2805,2
2848,37
2911,18
2912,19
2913,20
2914,40
2918,21
2923,42
2928,46
2764,34
2763,34
2762,34
2761,34
2765,35
2766,35
2767,35
2768,36
2769,36
2775,36
2657,49
2658,49
2520,8
2515,8
2543,17
2537,17
2536,17
2745,17
2919,26
2617,26
2613,24
2614,24
2633,43
2546,18
2547,18
2549,18
2551,19
2555,20
2556,20
2557,20
2558,20
2559,20
2560,20
2561,20
2562,20
2563,20
2570,20
2571,40
2572,40
2573,40
2574,40
2575,40
2576,40
2577,40
2578,40
2579,40
2580,40
2581,40
2582,40
2586,40
2601,21
2602,21
2605,21
2618,26
2619,26
2620,26
2625,26
2640,42
2641,42
2642,42
2645,42
2680,46
2737,41
2781,41
2782,41
