FAOCode,FAOName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,Armenia,4261.614613,3763.910889,2192.237783,1999.083367,2105.578132,2250.677471,2383.46933,2462.624524,2643.386484,2729.434851,2890.352108,3166.574728,3643.156374,4154.684758,4589.590434,5225.97185,5915.694602,6729.055562,7196.568584,6178.255779,6315.109501,6608.81061,7082.348505,7313.073353,7579.425368,7807.966417,8044.130714
2,Afghanistan,5725.165395,5099.369505,5181.698774,3888.090899,3022.555147,4531.855989,4293.013317,4072.311063,3887.479665,3698.806736,3495.24601,3296.867078,5439.744323,5887.348821,6025.242701,6621.833827,7228.470204,8391.84282,8587.560227,10066.7635,10392.53578,11294.70124,12529.19257,13340.57477,13628.10885,13299.54133,13913.23355
3,Albania,5270.817571,3794.875792,3522.13379,3858.829089,4179.222568,4735.992449,5167.050211,4607.052763,5013.825539,5660.143341,6053.313229,6555.332149,6852.719275,7231.58076,7630.388041,8052.079314,8527.360047,9037.572907,9715.398987,10041.28053,10413.50043,10678.56936,10829.90967,10950.40852,11171.78632,11466.64652,11778.32267
4,Algeria,66766.08436,65964.89095,67152.26051,65742.06253,65150.38623,67626.09752,70398.76648,71173.15287,74802.98623,77196.68295,80130.1569,82534.06161,87155.96906,93431.19883,97448.74038,103198.2161,104952.5857,108520.9737,111125.477,112903.4847,116968.0101,120360.0824,124452.3252,127936.9903,132798.5959,137844.9426,142945.0307
6,Andorra,1687.278614,1730.236738,1746.314364,1728.301275,1769.49007,1818.283653,1902.82915,2075.371494,2141.675212,2229.464217,2255.455022,2358.005337,2510.592208,2816.099141,3031.470737,3255.708103,3403.398519,3404.760255,3112.291221,2997.427335,2836.800427,2704.987274,2661.295827,2670.654141,2731.483181,2754.487828,2791.894413
7,Angola,21048.33003,21256.99461,20015.95159,15215.44236,15419.23244,17732.1173,20133.82055,21598.4105,22611.62367,23104.89395,23810.66164,24558.31642,28126.63979,28967.58357,32140.42919,36970.87808,41240.19502,47014.84499,52264.44816,52526.04694,55017.33889,56927.53006,61790.36356,64851.82302,67505.89074,69535.76511,72347.2979
8,Antigua and Barbuda,617.020421,630.452162,637.7548666,671.4287847,716.2546923,685.0296049,730.2745559,770.2288525,806.6707988,836.5813017,887.4842081,841.3690481,850.5207976,902.4921971,954.9398938,1014.979676,1144.947451,1251.308649,1251.905222,1101.231463,1023.685784,1005.635416,1044.22637,1042.136959,1090.104356,1135.092934,1178.585071
9,Argentina,121000.8609,133701.1575,147478.4182,156698.2819,165843.5701,161124.8983,170029.7442,183820.9554,190898.4,184435.6104,182980.4343,174913.128,155857.2308,169630.4204,184947.304,201387.8397,217785.9171,237420.9391,247140.6235,232279.1796,256328.3612,272086.1122,269221.387,275420.1668,268373.6039,274740.2203,280884.5545
10,Australia,453839.5986,455649.8519,474149.8742,493295.817,512430.3858,532667.6288,553693.2658,578267.5739,607222.0484,630713.4372,642882.362,667676.3669,688179.9996,716734.5902,739717.7432,761782.5996,790407.8284,819705.9158,834621.948,851466.1632,871727.3513,903394.8113,925437.5185,948573.9204,969991.0606,993574.0395,1024309.017
11,Austria,223054.061,230730.7507,235561.1561,236802.1145,242490.3826,248959.9864,254930.8293,260552.1041,269827.6729,279514.4533,288929.6397,292831.6809,297680.5488,299931.4798,308046.8551,314641.1605,325184.2552,336960.8369,342174.5101,329175.0436,335523.754,344945.2608,347517.7111,347949.4099,350193.1437,353565.7082,357597.4115
